,Symbol,Year,Quarter,Assets,Debt,Equity,Liabilities,Provisions
0,ABI,2008,4,489539522312.0,156951832.0,388236190129.0,101303332183.0,51982691342.0
1,ABI,2009,4,592757345964.0,0.0,388301408137.0,204200657204.0,132828037360.0
2,ABI,2010,4,792774693617.0,0.0,416234200271.0,375517974023.0,227643913133.0
3,ABI,2011,4,1564309884996.0,0.0,437085462249.0,1124854427394.0,935807183495.0
4,ABI,2012,2,924532582876.0,0.0,429112847182.0,485948607783.0,225623766610.0
5,ABI,2012,3,952842835080.0,0.0,443382392994.0,500619881204.0,237620598310.0
6,ABI,2012,4,904083105040.0,0.0,461009556304.0,435037470825.0,274999500711.0
7,ABI,2013,1,923685803630.0,0.0,477131596917.0,438718128802.0,265152241484.0
8,ABI,2013,2,1444061549118.0,0.0,446042730273.0,980124542054.0,276906747739.0
9,ABI,2013,3,932257870439.0,0.0,456264081397.0,458629512251.0,286316459394.0
10,ABI,2013,4,966874709114.0,0.0,464645648873.0,486095266450.0,301240568891.0
11,ABI,2014,1,1073834600921.0,0.0,484310685052.0,574447572078.0,423251744434.0
12,ABI,2014,2,1029766320136.0,0.0,456191155325.0,548258489472.0,385178805108.0
13,ABI,2014,4,1134712486213.0,0.0,533274186658.0,577964024216.0,405493451842.0
14,ABI,2015,1,1167900794532.0,0.0,505808963521.0,638843805672.0,456525874962.0
15,ABI,2015,2,1186681993407.0,0.0,514705136786.0,636520732794.0,478125709094.0
16,ABI,2015,3,1249594160259.0,0.0,536017116153.0,679195920279.0,501926603549.0
17,ABI,2015,4,1293413068894.0,0.0,557040139288.0,705456645779.0,411527688580.0
18,ABI,2016,1,1370254579819.0,0.0,578949026345.0,760798048995.0,583077618027.0
19,ABI,2016,2,1422179761290.0,0.0,565543148782.0,830864701813.0,623013605760.0
20,ABI,2016,3,1524179452384.0,0.0,579330243098.0,903100229656.0,672742716542.0
21,ABI,2016,4,1544987902463.0,0.0,602083019912.0,911396421631.0,707836110321.0
22,ABI,2017,1,1631432087017.0,0.0,647878723101.0,952413402996.0,732166304486.0
23,ABI,2017,2,1664279502368.0,0.0,622061958029.0,985067881719.0,734213916646.0
24,ABI,2017,3,1702988110179.0,0.0,674138778107.0,989251923749.0,735464655683.0
25,ABI,2017,4,1791663873047.0,0.0,657837160970.0,1095716545366.0,871004043078.0
26,ABI,2018,1,1892936470607.0,0.0,700144195133.0,1161498856513.0,928645411269.0
27,ABI,2018,2,1950595769948.0,0.0,673013943695.0,1217085849781.0,937379605935.0
28,ABI,2018,3,2058887332779.0,0.0,700529261102.0,1307748360830.0,1032821438019.0
29,ABI,2018,4,2139748413371.0,0.0,748846120940.0,1353759367441.0,1050987591797.0
