,Symbol,Year,Quarter,Assets,Debt,Equity,Loans
0,SSI,2014,0,8914435465737.0,0.0,5773805744525.0,
1,SSI,2015,0,13397481403920.0,4601347967537.0,6727609014290.0,
2,SSI,2016,0,13227969251704.0,5394992344750.0,7152567156682.0,3779178042796.0
3,SSI,2017,0,18764375171848.0,9273059330345.0,8616249695902.0,5764072330098.0
4,SSI,2018,0,23825626725361.0,12516479145400.0,9155664527633.0,5966651185939.0
5,SSI,2019,0,27044115024913.0,16656164101627.0,9401059780205.0,5359342228084.0
6,SSI,2020,0,35769528008240.0,24498017503183.0,9872797052319.0,9226158205627.0
7,SSI,2021,0,50793056562082.0,31120908370195.0,14220082730148.0,23697887241454.0
8,SSI,2022,0,52226382886481.0,27892289728472.0,22383881964660.0,11057163090177.0
9,SSI,2016,1,12521329548847.0,4989350558408.0,6860458957576.0,3772131876731.0
10,SSI,2017,1,14964437294047.0,6174792402323.0,8446304970935.0,3956176081591.0
11,SSI,2018,1,20873471809713.0,10041139601838.0,9010467845824.0,7406118232645.0
12,SSI,2019,1,25031547530915.0,13653171418211.0,9370891277310.0,5995588129898.0
13,SSI,2020,1,27499507125665.0,16916990202387.0,9280116093365.0,4009405337496.0
14,SSI,2021,1,37623298592745.0,24227119987945.0,11447215220302.0,11122707493640.0
15,SSI,2022,1,50081417987976.0,33131491372373.0,15068014323538.0,21202912157923.0
16,SSI,2023,1,52708904888210.0,28207391544425.0,22972753148755.0,11118250784466.0
17,SSI,2016,2,13506909623028.0,5983247046853.0,7079585169783.0,4383735998455.0
18,SSI,2017,2,16390420672126.0,6753071234545.0,8803593393045.0,4195715448277.0
19,SSI,2018,2,20473040563831.0,9854959983198.0,9148792338440.0,5884564934375.0
20,SSI,2019,2,27241182243476.0,15820014802640.0,9488132103112.0,6287089580007.0
21,SSI,2020,2,25926469617946.0,15110137338478.0,9803542308813.0,3979491363017.0
22,SSI,2021,2,41909854337867.0,27578086826578.0,11399851259045.0,16158911563003.0
23,SSI,2022,2,43271692294652.0,25754560879629.0,14366748071135.0,14723785288602.0
24,SSI,2016,3,13915291156091.0,5948996954071.0,7438507957719.0,3982582192817.0
25,SSI,2017,3,17352425870701.0,7586748014849.0,8902593302351.0,4729076767590.0
26,SSI,2018,3,23412587559962.0,11936991415085.0,9512059781711.0,5429217683488.0
27,SSI,2019,3,25682773499829.0,14644917220429.0,9723541729786.0,5365596534448.0
28,SSI,2020,3,26932953047080.0,16441035016045.0,9496490331467.0,4710796845532.0
29,SSI,2021,3,47603599899089.0,34213353020925.0,12077936585211.0,18292870393717.0
30,SSI,2022,3,45436360097588.0,21404966597435.0,22161805999290.0,15592920312404.0
31,SSI,2014,4,8914435465737.0,0.0,5773805744525.0,
32,SSI,2015,4,13397481403920.0,4601347967537.0,6727609014290.0,
33,SSI,2016,4,13227969251704.0,5394992344750.0,7073465972471.0,3779178042796.0
34,SSI,2017,4,18764375171848.0,9273059330345.0,8616249695902.0,5764072330098.0
35,SSI,2018,4,23825626725361.0,12516479145400.0,9155664527633.0,5966651185939.0
36,SSI,2019,4,27044115024913.0,16656164101627.0,9401059780205.0,5359342228084.0
37,SSI,2020,4,35769528008239.0,24498017503183.0,9872797052319.0,9226158205627.0
38,SSI,2021,4,50793056562082.0,31120908370195.0,14220082730148.0,23697887241454.0
39,SSI,2022,4,52226382886481.0,27892289728472.0,22383881964660.0,11057163090177.0
40,BVS,2014,0,1883734671165.0,0.0,1341205921867.0,
41,BVS,2015,0,2108291107867.0,29150839917.0,1450739880694.0,
42,BVS,2016,0,1855255471025.0,159677448472.0,1548162323584.0,735872635238.0
43,BVS,2017,0,2198954446672.0,89985675489.0,1698103606710.0,1116594118657.0
44,BVS,2018,0,2927161189656.0,442822170663.0,1692152042464.0,1682728337545.0
45,BVS,2019,0,2397853185656.0,500387697434.0,1806633192421.0,1514325651880.0
46,BVS,2020,0,3412992891720.0,995251422216.0,1874743668855.0,2205552755865.0
47,BVS,2021,0,5719297483625.0,2605890208119.0,2144451663109.0,3374602084018.0
48,BVS,2022,0,3857650840076.0,980000000000.0,2180939806045.0,2254798696008.0
49,BVS,2016,1,1660633192665.0,25183112221.0,1470097304141.0,986072663372.0
50,BVS,2017,1,1800487036591.0,93243810857.0,1573920481940.0,710870958158.0
51,BVS,2018,1,5670640335310.0,0.0,1736023639943.0,1152325142408.0
52,BVS,2019,1,2429383193249.0,556261269210.0,1721459944796.0,1704940089625.0
53,BVS,2020,1,2222416646632.0,408783862274.0,1762503892691.0,1470612090688.0
54,BVS,2021,1,3601030929769.0,1195330361567.0,1942803815415.0,2716946385368.0
55,BVS,2022,1,5960543016280.0,2971930720117.0,2197126381712.0,3662838000080.0
56,BVS,2023,1,4077290230418.0,1718379157390.0,2215413625424.0,2295662277538.0
57,BVS,2016,2,1748080572544.0,66841158111.0,1501870827179.0,1172217198392.0
58,BVS,2017,2,1855408448455.0,0.0,1624842005411.0,752313269776.0
59,BVS,2018,2,3854404144354.0,300068425102.0,1750575340100.0,1406417301144.0
60,BVS,2019,2,2440971378965.0,616972793662.0,1755901256387.0,1712696526306.0
