,Symbol,Year,Quarter,Sales,IncomeFVTPL,IncomeHTM,IncomeLoansReceivables,IncomeAFS,IncomeDerivatives,RevenueBrokerageServices,RevenueUnderwritingIssuuanceServices,RevenueAdvisoryServices,RevenueAuctionTrustServices,RevenueCustodyServices,OtherRevenues,FVTPL,Revenues,InterestExpenses,NetIncome,NetIncome2
0,AAS,2017,2,282191200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280000000.0,0.0,2191200.0,0.0,0.0,282191200.0,0.0,-2373962916.0,-2373962916.0
1,AAS,2017,3,5602235137.0,4885710000.0,0.0,54793564.0,0.0,0.0,296474563.0,0.0,345000000.0,0.0,20257010.0,0.0,4885710000.0,661731573.0,0.0,2741754061.0,2741754061.0
2,AAS,2017,4,8269967894.0,5177038889.0,0.0,39111621.0,0.0,0.0,372536171.0,0.0,90000000.0,0.0,33834600.0,2557446613.0,5177038889.0,496370771.0,0.0,4557140155.0,4557140155.0
3,AAS,2018,1,5933404894.0,2031500000.0,0.0,144704565.0,0.0,0.0,273448258.0,3213000000.0,200000000.0,0.0,59169856.0,11582215.0,2031500000.0,3745618114.0,0.0,2949598009.0,2949598009.0
4,AAS,2018,2,3429037560.0,-2031500000.0,3369572222.0,792625256.0,0.0,0.0,1207497119.0,0.0,50000000.0,0.0,47434780.0,-6591817.0,-2031500000.0,1304931899.0,0.0,305408099.0,305408099.0
5,AAS,2018,3,69449570369.0,1105500000.0,0.0,1073555237.0,10774000000.0,0.0,3929055320.0,0.0,52477211320.0,0.0,78596951.0,11651541.0,-17097500000.0,56484863591.0,0.0,46153698560.0,46153698560.0
6,AAS,2018,4,5199819925.0,1010787636.0,0.0,597265022.0,200000000.0,0.0,2091324144.0,650000000.0,526000000.0,0.0,113653762.0,10789361.0,-25989658164.0,3380977906.0,0.0,-30604275128.0,-30604275128.0
7,AAS,2019,1,4461342199.0,1330021940.0,1105000000.0,589136882.0,0.0,0.0,1302629315.0,0.0,0.0,0.0,125486790.0,9067272.0,1212998729.0,1428116105.0,0.0,917124402.0,917124402.0
8,AAS,2019,2,67359947564.0,4392685569.0,1137500000.0,546754691.0,0.0,0.0,61007790861.0,45000000.0,70000000.0,0.0,143856530.0,16359913.0,3690092120.0,61266647391.0,0.0,50347403912.0,50347403912.0
9,AAS,2019,3,7490925063.0,0.0,4279260275.0,962650025.0,0.0,0.0,2089552262.0,0.0,20000000.0,0.0,128009356.0,11453145.0,0.0,2237561618.0,0.0,3020193930.0,3020193930.0
10,AAS,2019,4,33473698209.0,23434826024.0,3482746576.0,1733692483.0,0.0,0.0,3898044892.0,484550000.0,39090909.0,0.0,363532260.0,37215065.0,-47594851849.0,4785218061.0,1573413.0,-38050136002.0,-38050136002.0
11,AAS,2020,1,42730827220.0,35548163137.0,3303165875.0,1229748711.0,0.0,0.0,1789208309.0,725550000.0,12000000.0,0.0,122991188.0,0.0,9898149814.0,2649749497.0,15083343.0,7478373690.0,7478373690.0
12,AAS,2020,2,133367218901.0,105841409370.0,2506103616.0,682946072.0,0.0,0.0,3405088834.0,332200000.0,20446200000.0,0.0,153271009.0,0.0,-1428037915.0,24336759843.0,32678186.0,13933393643.0,13933393643.0
13,AAS,2020,4,192337655322.0,186588046871.0,2664744260.0,581384967.0,0.0,0.0,1462368944.0,0.0,925907200.0,0.0,115203080.0,0.0,-42846593725.0,2503479224.0,1414624189.0,-37896258866.0,-37896258866.0
14,AAS,2021,1,143569038943.0,137553943566.0,1566496814.0,1315676340.0,,,2812945882.0,,142068359.0,,177907982.0,,7034655727.0,3132922223.0,436239600.0,2957792033.0,2957792033.0
15,AAS,2021,2,172784104479.0,161005578695.0,508794520.0,2871431183.0,,,6247055107.0,,1774545753.0,,337066401.0,39632820.0,14150554350.0,8358667261.0,436974258.0,2399856124.0,2399856124.0
16,AAS,2021,3,252406090122.0,240174939658.0,1768653454.0,3626605086.0,,,6140669722.0,,355752334.0,,339469868.0,,168281971923.0,6835891924.0,384077407.0,136102189702.0,136102189702.0
17,AAS,2021,4,389740107509.0,323319825669.0,2246517846.0,5796725197.0,,,57177033962.0,300000000.0,450000000.0,,450004835.0,,246930157115.0,58377038797.0,1232932331.0,236342391097.0,236342391097.0
18,AAS,2022,1,328539189076.0,310629992181.0,2993454797.0,4764490645.0,,,4096649266.0,5700000000.0,171896292.0,,182705895.0,,97471200136.0,10151251453.0,299223288.0,86421473384.0,86421473384.0
19,AAS,2022,2,313645137295.0,285368283215.0,4209890411.0,6040104653.0,0.0,0.0,8700839351.0,8400000000.0,440816674.0,,485202991.0,0.0,124407168283.0,18026859016.0,2556320937.0,118955014146.0,118955014146.0
20,AAS,2022,3,328144295838.0,296246455717.0,4249548476.0,3953083923.0,16901296164.0,,5146694320.0,200000000.0,1114093158.0,,333124080.0,,88548596805.0,6793911558.0,3814857857.0,84626489614.0,84626489614.0
21,AAS,2022,4,256391828508.0,248671469649.0,169609531.0,3304410733.0,,,2226540914.0,,584635402.0,,1435162279.0,,52461785219.0,4246338595.0,10549754398.0,29146920143.0,29146920143.0
22,AAS,2023,1,230821706179.0,227744039813.0,-113681639.0,1367444739.0,,,1086692815.0,,90909091.0,,646301360.0,0.0,42264925696.0,1823903266.0,8980296010.0,20262968701.0,20262968701.0
23,ABW,2022,1,91337406489.0,23340065544.0,7129864131.0,23526196837.0,,,26627657961.0,8650066892.0,100000000.0,,1444808125.0,518746999.0,18845633605.0,36822532978.0,5713291962.0,21990969813.0,21990969813.0
24,ABW,2022,2,101643863471.0,19914114126.0,6804433056.0,19164706422.0,,,17630660473.0,36261030676.0,350000000.0,,1508464810.0,10453908.0,-2682961646.0,55750155959.0,23472518888.0,29293662618.0,29293662618.0
25,ABW,2022,3,84741866198.0,46882236177.0,4828000.0,17534166437.0,,,14031728624.0,3296559392.0,1650000000.0,,1204634885.0,137712683.0,43812025389.0,20182922901.0,11263158983.0,26935245953.0,26935245953.0
26,ABW,2022,4,86772112760.0,31644546396.0,4828000.0,14422369410.0,,,11867928561.0,25993013997.0,575000000.0,,1272785585.0,991640811.0,10718094569.0,39708728143.0,12420769161.0,11673357978.0,11673357978.0
27,ABW,2023,1,62394167568.0,37057501512.0,3013936131.0,12734785869.0,,,8025505490.0,450033020.0,,,1010291912.0,102113634.0,33579019258.0,9485830422.0,13295529514.0,19336331418.0,19336331418.0
28,AGR,2015,2,40506924447.0,0.0,0.0,0.0,0.0,0.0,5687283346.0,0.0,508636363.0,0.0,134523008.0,34176481730.0,0.0,6330442717.0,0.0,-16582261229.0,-16582261229.0
29,AGR,2015,3,46546710021.0,0.0,0.0,0.0,0.0,0.0,7377445432.0,10000000.0,710000000.0,0.0,1147114070.0,37302150519.0,0.0,9244559502.0,0.0,-26410227958.0,-26410227958.0
30,AGR,2015,4,47767513508.0,0.0,0.0,0.0,0.0,0.0,5875308016.0,15990000000.0,823090909.0,0.0,750678333.0,24328436250.0,0.0,23439077258.0,0.0,-136653523717.0,-136653523717.0
31,AGR,2016,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-111511966241.0,-111511966241.0
32,AGR,2016,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-52252063123.0,-52252063123.0
33,AGR,2016,3,33010445995.0,2282858350.0,7069554006.0,11881232451.0,0.0,0.0,6818043042.0,100000000.0,130181818.0,0.0,3425209360.0,1303366968.0,-17446329356.0,10473434220.0,80305556.0,-3874704177.0,-3874704177.0
34,AGR,2016,4,33105603898.0,302496870.0,6175403270.0,20267728253.0,0.0,0.0,6785910465.0,0.0,406818183.0,0.0,-1381135367.0,548382224.0,5991024500.0,5811593281.0,116305556.0,13057324467.0,13057324467.0
35,AGR,2017,1,54571893841.0,718760655.0,5186835350.0,16958661965.0,0.0,0.0,7137699071.0,22890000000.0,427230386.0,0.0,726270857.0,526435557.0,38742906324.0,31181200314.0,30684931.0,52000773340.0,52000773340.0
36,AGR,2017,2,47541418881.0,10242946673.0,5155657343.0,19605557313.0,0.0,0.0,10520020186.0,0.0,188818182.0,0.0,1141585182.0,686834002.0,-30316918512.0,11850423550.0,390136985.0,-157907317.0,-157907317.0
37,AGR,2017,3,42921270629.0,4282518750.0,6159294078.0,19040000300.0,0.0,0.0,9258193491.0,100000000.0,151545455.0,0.0,1229666097.0,2700052458.0,1411794784.0,10739405043.0,159684930.0,15049097485.0,15049097485.0
38,AGR,2017,4,33456908763.0,-2860404165.0,7203723142.0,17604558460.0,0.0,0.0,8955868683.0,26584836.0,696141796.0,0.0,1197515406.0,632920605.0,-2998030395.0,10876110721.0,176438358.0,-4355602602.0,-4355602602.0
39,AGR,2018,1,44389802755.0,2559137880.0,8884880957.0,17656199590.0,2000000000.0,0.0,11345179538.0,4575884.0,255000000.0,0.0,707398030.0,977430876.0,-3457359720.0,12312153452.0,202978912.0,12066383746.0,12066383746.0
40,AGR,2018,2,46197265715.0,3424259558.0,9480985914.0,21040054576.0,1589160000.0,0.0,8757126821.0,0.0,173181818.0,0.0,1051859639.0,680637389.0,2282237900.0,9982168278.0,272716821.0,9023076963.0,9023076963.0
41,AGR,2018,3,44058007493.0,206331484.0,10436661281.0,22646590777.0,0.0,0.0,8234665413.0,150000000.0,683409092.0,0.0,1197140607.0,503208839.0,-3843883240.0,10265215112.0,36273972.0,20457098243.0,20457098243.0
42,AGR,2018,4,46570122194.0,-1225546537.0,10200680682.0,24238136299.0,0.0,0.0,7807188078.0,1932648227.0,1497665553.0,0.0,1864587457.0,254762435.0,4123257181.0,13102089315.0,305578082.0,26268672511.0,26268672511.0
43,AGR,2019,1,44306034809.0,524320308.0,9664963692.0,26261479403.0,0.0,0.0,6730855530.0,0.0,348145082.0,0.0,770413622.0,5857172.0,344831978.0,7849414234.0,758758607.0,18329639883.0,18329639883.0
44,AGR,2019,2,50815505022.0,1465415132.0,10236906378.0,29862949024.0,1388160000.0,0.0,5968245592.0,447626723.0,246818182.0,0.0,1058942784.0,140441207.0,-1021127550.0,7721633281.0,-758758607.0,14318216426.0,14318216426.0
45,AGR,2019,3,51012201216.0,3973005887.0,11379952427.0,25590857738.0,1625000000.0,,6360997839.0,,246181818.0,,1808114553.0,28090954.0,1613340290.0,8415294210.0,,13991301085.0,13991301085.0
46,AGR,2019,4,57946711820.0,8906088222.0,13549711889.0,22830878577.0,1000000000.0,0.0,5437049718.0,2420113843.0,2342300068.0,0.0,1433751264.0,26818239.0,10594521765.0,11633214893.0,0.0,21617727798.0,21617727798.0
47,AGR,2020,1,48510129471.0,112399507.0,12925637693.0,26650735176.0,1028160000.0,0.0,6316004415.0,0.0,437181819.0,0.0,1024068755.0,15942106.0,-9567469580.0,7777254989.0,0.0,13027845938.0,13027845938.0
48,AGR,2020,2,59836836048.0,12123018273.0,18910928430.0,18838854841.0,0.0,0.0,7918727323.0,947133250.0,420927271.0,0.0,667473930.0,9772730.0,43737038114.0,9954261774.0,0.0,29488951498.0,29488951498.0
49,AGR,2020,3,57987959400.0,8925491567.0,21820505292.0,16486002093.0,600000000.0,0.0,8525454729.0,749650950.0,107000000.0,0.0,750991044.0,22863725.0,7848064528.0,10133096723.0,0.0,38046978729.0,38046978729.0
50,AGR,2020,4,58461457988.0,2588021042.0,21420177520.0,16576293824.0,0.0,0.0,11843234455.0,2284871387.0,2631177301.0,0.0,1088604075.0,29078384.0,815605782.0,17847887218.0,0.0,16229513525.0,16229513525.0
51,AGR,2021,1,102905126408.0,45989640194.0,21432636417.0,17785536596.0,0.0,0.0,16529016676.0,33000000.0,100000000.0,,993438253.0,41858272.0,-6150911203.0,17655454929.0,,37064386175.0,37064386175.0
52,AGR,2021,2,90935720660.0,15849725686.0,17235272166.0,29284767940.0,,,24315870139.0,1928551153.0,759881818.0,,1549955106.0,11696652.0,-120672809128.0,28554258216.0,,257151520089.0,257151520089.0
